MiniDOT Logger Concatenated Data File
Sensor:             7392-419694
Concatenation Date: 2018Apr07 15:30:50 CDT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 246.89 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Central Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1519153680,           2018-02-20 19:08:00,           2018-02-20 13:08:00,      3.430000,      5.726000,          0.033000,                     0.271188,      0.968000
                1519154280,           2018-02-20 19:18:00,           2018-02-20 13:18:00,      3.430000,      5.745000,          0.032000,                     0.263097,      0.968000
                1519154880,           2018-02-20 19:28:00,           2018-02-20 13:28:00,      3.430000,      5.775000,          0.032000,                     0.263298,      0.968000
                1519155480,           2018-02-20 19:38:00,           2018-02-20 13:38:00,      3.430000,      5.775000,          0.033000,                     0.271527,      0.969000
                1519156080,           2018-02-20 19:48:00,           2018-02-20 13:48:00,      3.430000,      5.745000,          0.032000,                     0.263097,      0.968000
                1519156680,           2018-02-20 19:58:00,           2018-02-20 13:58:00,      3.430000,      5.726000,          0.034000,                     0.279405,      0.969000
                1519157280,           2018-02-20 20:08:00,           2018-02-20 14:08:00,      3.430000,      5.736000,          0.032000,                     0.263037,      0.968000
                1519157880,           2018-02-20 20:18:00,           2018-02-20 14:18:00,      3.430000,      5.726000,          0.033000,                     0.271188,      0.969000
                1519158480,           2018-02-20 20:28:00,           2018-02-20 14:28:00,      3.430000,      5.716000,          0.031000,                     0.254687,      0.968000
                1519159080,           2018-02-20 20:38:00,           2018-02-20 14:38:00,      3.430000,      5.726000,          0.032000,                     0.262970,      0.968000
                1519159680,           2018-02-20 20:48:00,           2018-02-20 14:48:00,      3.430000,      5.726000,          0.034000,                     0.279405,      0.968000
                1519160280,           2018-02-20 20:58:00,           2018-02-20 14:58:00,      3.430000,      5.716000,          0.033000,                     0.271118,      0.969000
                1519160880,           2018-02-20 21:08:00,           2018-02-20 15:08:00,      3.430000,      5.726000,          0.033000,                     0.271188,      0.969000
                1519161480,           2018-02-20 21:18:00,           2018-02-20 15:18:00,      3.430000,      5.726000,          0.031000,                     0.254752,      0.968000
                1519162080,           2018-02-20 21:28:00,           2018-02-20 15:28:00,      3.430000,      5.716000,          0.033000,                     0.271118,      0.969000
                1519162680,           2018-02-20 21:38:00,           2018-02-20 15:38:00,      3.430000,      5.696000,          0.033000,                     0.270980,      0.969000
                1519163280,           2018-02-20 21:48:00,           2018-02-20 15:48:00,      3.430000,      5.667000,          0.032000,                     0.262574,      0.969000
                1519163880,           2018-02-20 21:58:00,           2018-02-20 15:58:00,      3.430000,      5.627000,          0.033000,                     0.270503,      0.969000
                1519164480,           2018-02-20 22:08:00,           2018-02-20 16:08:00,      3.430000,      5.627000,          0.032000,                     0.262306,      0.969000
                1519165080,           2018-02-20 22:18:00,           2018-02-20 16:18:00,      3.430000,      5.608000,          0.033000,                     0.270372,      0.969000
                1519165680,           2018-02-20 22:28:00,           2018-02-20 16:28:00,      3.430000,      5.578000,          0.032000,                     0.261978,      0.968000
                1519166280,           2018-02-20 22:38:00,           2018-02-20 16:38:00,      3.430000,      5.558000,          0.033000,                     0.270026,      0.969000
                1519166880,           2018-02-20 22:48:00,           2018-02-20 16:48:00,      3.430000,      5.539000,          0.033000,                     0.269895,      0.969000
                1519167480,           2018-02-20 22:58:00,           2018-02-20 16:58:00,      3.430000,      5.509000,          0.032000,                     0.261516,      0.969000
                1519168080,           2018-02-20 23:08:00,           2018-02-20 17:08:00,      3.430000,      5.469000,          0.033000,                     0.269412,      0.969000
                1519168680,           2018-02-20 23:18:00,           2018-02-20 17:18:00,      3.430000,      5.430000,          0.033000,                     0.269143,      0.969000
                1519169280,           2018-02-20 23:28:00,           2018-02-20 17:28:00,      3.430000,      5.410000,          0.033000,                     0.269005,      0.969000
                1519169880,           2018-02-20 23:38:00,           2018-02-20 17:38:00,      3.430000,      5.361000,          0.032000,                     0.260525,      0.969000
                1519170480,           2018-02-20 23:48:00,           2018-02-20 17:48:00,      3.430000,      5.341000,          0.032000,                     0.260391,      0.969000
